# This data is from the USGS earhtuqake hazards program catalog search,,,,,,
# retreived from https://earthquake.usgs.gov/earthquakes/search/,,,,,,
# by JD Dianala on 20 March 2022
time,latitude,longitude,depth,mag,magType,place
2019-01-31T04:13:09.980Z,8.826,NaN,10,4.4,mb,"101 km E of Aras-asan, Philippines"
2019-01-30T15:14:52.090Z,21.831,120.5791,10,5,mww,"25 km SW of Hengchun, Taiwan"
2019-01-30T09:28:51.260Z,9.8388,126.2103,44.46,4.8,mb,"12 km ESE of Pilar, Philippines"
2019-01-30T03:27:53.410Z,11.5913,125.7895,35,5,mb,"33 km NE of Llorente, Philippines"
2019-01-30T00:27:16.050Z,NaN,126.2217,58.47,4.5,mb,"12 km ENE of Union, Philippines"
2019-01-29T05:26:41.950Z,5.1074,125.8868,113.84,4.5,mb,"57 km SE of Sarangani, Philippines"
2019-01-28T18:00:36.610Z,4.4958,125.8299,165.56,4.3,mb,"108 km SSE of Sarangani, Philippines"
2019-01-28T16:46:32.000Z,5.8093,126.6975,84.69,4.4,mb,"Mindanao, Philippines"
2019-01-28T06:06:16.510Z,9.8265,126.3155,35,5,mb,"23 km ENE of Union, Philippines"
2019-01-27T16:19:06.970Z,6.1606,126.5905,88.91,4.6,mb,"50 km ESE of Pondaguitan, Philippines"
2019-01-27T06:24:56.690Z,11.505,125.872,35,5,mb,"33 km NE of Hernani, Philippines"
2019-01-26T20:56:31.880Z,6.5854,126.4309,114,4.3,mb,"32 km SSE of Tamisan, Philippines"
2019-01-25T19:20:04.420Z,13.6647,125.0156,10,4.4,mb,"68 km E of Gigmoto, Philippines"
2019-01-24T21:16:22.280Z,5.8646,127.0655,53.41,4.5,mb,"112 km ESE of Pondaguitan, Philippines"
2019-01-24T20:03:28.860Z,6.3135,126.9412,200.86,4.8,mb,"84 km E of Pondaguitan, Philippines"
2019-01-24T08:34:52.310Z,19.2411,121.1371,19,5.5,mww,"69 km N of Namuac, Philippines"
2019-01-24T05:30:27.880Z,6.2656,123.4446,15.7,4.4,mb,"69 km WSW of Sangay, Philippines"
2019-01-23T13:30:32.080Z,9.7973,126.5479,35,4.6,mb,"48 km E of Union, Philippines"
2019-01-23T10:53:38.730Z,9.6779,126.4719,21.79,4.6,mb,"40 km ESE of Union, Philippines"
2019-01-23T09:48:44.030Z,9.8158,126.4929,35,4.7,mb,"42 km E of Union, Philippines"
2019-01-23T09:47:38.700Z,9.7314,126.4133,35,4.6,mb,"33 km E of Union, Philippines"
2019-01-23T09:40:05.240Z,4.6362,125.7977,157.53,4.2,mb,"Pulau-Pulau Sangihe, Indonesia"
2019-01-22T03:19:27.060Z,22.1646,121.465,24.38,4.7,mwr,"76 km ENE of Hengchun, Taiwan"
2019-01-21T16:47:48.700Z,4.4905,126.885,14.07,5,mww,"187 km ESE of Sarangani, Philippines"
2019-01-20T15:42:15.860Z,9.5849,125.863,110.55,4.3,mb,"12 km WSW of Socorro, Philippines"
2019-01-20T07:48:00.590Z,5.6615,121.6336,50.9,4.8,mb,"41 km SE of Kalang, Philippines"
2019-01-19T15:52:57.640Z,6.0302,126.1758,88.14,4.5,mb,"36 km S of Pondaguitan, Philippines"
2019-01-19T10:51:41.990Z,6.3405,125.9541,124.37,4.2,mb,"21 km WSW of Surup, Philippines"
2019-01-19T04:49:51.700Z,12.6912,125.9304,10,4.6,mb,"71 km NE of Alugan, Philippines"
2019-01-18T01:27:39.060Z,5.9771,126.667,73.01,4.2,mb,"68 km SE of Pondaguitan, Philippines"
2019-01-17T12:22:25.110Z,17.9774,123.2243,35,4.6,mb,"124 km ESE of Casambalangan, Philippines"
2019-01-15T20:03:20.260Z,5.8113,126.8985,61.83,5.7,mww,"100 km SE of Pondaguitan, Philippines"
2019-01-13T18:28:22.190Z,22.731,121.302,10,4.4,mb,"92 km ENE of Donggang, Taiwan"
2019-01-12T13:20:11.210Z,18.0641,120.5825,49.24,4.7,mb,"2 km ENE of Batac City, Philippines"
2019-01-10T01:37:20.180Z,4.2044,126.6685,35,4.3,mb,"188 km SE of Sarangani, Philippines"
2019-01-09T22:38:06.660Z,5.6988,126.569,76.83,4.6,mb,"85 km SSE of Pondaguitan, Philippines"
2019-01-09T08:32:30.790Z,18.534,121.2816,56.26,4.6,mb,"3 km WNW of Santa Cruz, Philippines"
2019-01-09T07:56:31.970Z,6.1625,126.7504,106.19,4.5,mb,"67 km ESE of Pondaguitan, Philippines"
2019-01-09T03:54:17.880Z,9.8174,126.0468,10,4.4,mb,"6 km N of Dapa, Philippines"
2019-01-08T23:18:17.440Z,5.2099,124.1076,495.25,4.2,mb,"101 km SSW of Maitum, Philippines"
2019-01-08T14:29:30.360Z,19.0656,121.041,36.74,4.6,mb,"50 km N of Claveria, Philippines"
2019-01-07T03:11:54.280Z,7.8663,121.9502,19.43,5.5,mww,"27 km NW of Siocon, Philippines"
2019-01-06T14:34:40.370Z,5.8005,126.7294,85.12,4.4,mb,"87 km SE of Pondaguitan, Philippines"
2019-01-05T20:42:53.600Z,17.7838,122.9031,42.17,4.8,mb,"93 km NE of Dicabisagan, Philippines"
2019-01-05T13:05:59.080Z,12.0794,123.4567,63.36,4.2,mb,"10 km SSE of Bangad, Philippines"
2019-01-05T01:04:18.750Z,4.4493,126.1068,106.98,5,mww,"127 km SE of Sarangani, Philippines"
2019-01-04T16:12:51.050Z,5.0456,127.2377,83.72,NaN,mb,"186 km SE of Pondaguitan, Philippines"
2019-01-02T21:26:47.340Z,5.6609,125.8541,114.29,4.4,mb,"36 km SE of Caburan, Philippines"
2019-01-02T13:36:01.430Z,5.5593,126.3478,57.53,4.6,mb,"87 km ESE of Caburan, Philippines"
2019-01-02T00:01:59.590Z,13.1406,121.2786,35,4.5,mb,"4 km S of Victoria, Philippines"
2019-01-01T22:11:19.290Z,5.9022,126.9981,73.17,4.2,mb,"104 km ESE of Pondaguitan, Philippines"
2019-01-01T22:07:35.280Z,6.0412,126.9566,78.6,4.3,mb,"93 km ESE of Pondaguitan, Philippines"
2019-01-01T18:45:16.740Z,19.8346,122.3114,15.73,4.4,mb,"76 km SSE of Basco, Philippines"
2019-01-01T12:41:50.090Z,6.0443,127.3506,10,4.3,mb,"134 km ESE of Pondaguitan, Philippines"
2019-01-01T06:34:48.760Z,5.9243,126.8842,78.08,4.2,mb,"91 km ESE of Pondaguitan, Philippines"
2019-01-01T04:19:17.680Z,8.5808,125.834,46.03,4.6,mb,"1 km SSW of Aurora, Philippines"
2019-01-01T03:00:42.450Z,5.7717,126.946,67.36,4.6,mb,"107 km SE of Pondaguitan, Philippines"
2019-01-01T02:04:02.950Z,5.8873,127.4672,35,4.5,mb,"152 km ESE of Pondaguitan, Philippines"
